pais,ano,metrica,valor,unidade,fonte
Estados Unidos,2012,Gasto com saúde per capita,8262.29,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2013,Gasto total com saúde,2664.78,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2013,Gasto com saúde per capita,8412.25,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2014,Gasto total com saúde,2808.10,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2014,Gasto com saúde per capita,8796.34,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2015,Gasto total com saúde,2961.00,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2015,Gasto com saúde per capita,9200.93,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2016,Gasto total com saúde,3092.90,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2016,Gasto com saúde per capita,9535.60,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2017,Gasto total com saúde,3208.15,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2017,Gasto com saúde per capita,9822.61,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2018,Gasto total com saúde,3344.59,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2018,Gasto com saúde per capita,10180.48,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2019,Gasto total com saúde,3483.96,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2019,Gasto com saúde per capita,10550.22,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2020,Gasto total com saúde,3862.39,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2020,Gasto com saúde per capita,11648.50,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2021,Gasto total com saúde,4011.79,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2021,Gasto com saúde per capita,12080.07,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2022,Gasto total com saúde,4203.74,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2022,Gasto com saúde per capita,12586.20,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2023,Gasto total com saúde,4538.17,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2023,Gasto com saúde per capita,13473.19,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2024,Gasto total com saúde,,US$ correntes (bilhões),n/d — não publicado na base (set/2026)
Estados Unidos,2024,Gasto com saúde per capita,,US$ correntes por habitante,n/d — não publicado na base (set/2026)
Estados Unidos,2025,Gasto total com saúde,,US$ correntes (bilhões),n/d — não publicado na base (set/2026)
Estados Unidos,2025,Gasto com saúde per capita,,US$ correntes por habitante,n/d — não publicado na base (set/2026)
